key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,2307.7039,space,6.7797,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.045,0,1,1,2,1,"No, we couldn't SEE the flowers, but we could smell them.",asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.7999,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.8704,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,space,1.3342,space,5.6469,0,0,0,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.6657,0,1,1,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.8119,0,2,2,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.9044,0,3,3,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.7982,0,4,4,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,5.1747,0,5,5,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,5.209,0,6,6,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,6.2602,0,7,7,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.6793,0,8,8,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.8658,0,9,9,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.6173,0,10,10,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.7355,0,11,11,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.4277,0,12,12,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.3849,0,13,13,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.2264,0,14,14,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,5.2014,0,15,15,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.5817,0,16,16,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,5.2105,0,17,17,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.9557,0,18,18,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.544,0,0,0,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,5.103,0,1,1,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,5.0254,0,2,2,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.6963,0,3,3,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,asl181,2023-02-20_12h14.41.529,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,4.339,0,4,4,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
