key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,128.0114,space,8.8922,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.961,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2551,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.8707,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,space,6.6145,space,7.4677,0,0,0,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.6159,0,1,1,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,7.3684,0,2,2,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.7741,0,3,3,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,7.7891,0,4,4,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,7.3552,0,5,5,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.0498,0,6,6,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,7.1505,0,7,7,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.9619,0,8,8,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,7.0888,0,9,9,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.7998,0,10,10,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.6464,0,11,11,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.8952,0,12,12,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.5213,0,13,13,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,7.0498,0,14,14,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.7328,0,15,15,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,6.788,0,16,16,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,aps124,2023-03-22_10h24.21.044,english_experiment2,2022.1.4,Win32,59.84082341,,,space,7.0022,0,17,17,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
